
('Time:Fri Oct  5 13:02:50 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Mon Oct  8 05:30:10 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:31:13 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:32:16 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:33:19 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:34:22 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:35:25 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:36:28 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:37:31 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:38:34 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:39:37 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:40:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:41:43 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:42:46 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:43:49 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:44:52 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:45:55 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:46:58 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:48:02 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:49:05 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:50:08 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:51:11 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:52:14 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:53:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:54:20 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:55:23 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:56:26 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:57:29 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:58:32 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:59:35 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:00:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:01:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:02:44 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:03:47 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:04:50 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:05:54 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:06:57 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:08:00 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:09:03 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:10:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:11:09 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:12:12 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:13:15 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:14:18 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:15:21 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:16:24 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:17:27 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:18:30 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:19:33 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:20:36 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:21:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:22:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:23:46 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:24:49 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:25:52 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:26:55 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:27:58 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:29:01 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:30:04 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:31:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:32:10 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:33:13 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:34:16 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:35:19 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:36:22 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:37:25 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:38:28 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:39:31 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:40:34 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:41:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:42:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:43:44 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:44:47 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:45:50 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:46:53 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:47:56 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:48:59 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:50:02 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:51:05 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:52:08 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:53:11 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:54:14 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:55:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:56:20 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:57:23 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:58:27 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 06:59:30 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:00:33 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:01:36 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:02:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:03:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:04:45 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:05:48 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:06:51 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:07:54 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:08:57 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:10:00 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:11:03 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:12:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:13:09 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:14:12 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:15:15 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:16:19 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:17:22 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:18:25 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:19:28 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:20:31 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:21:34 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:22:37 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:23:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:24:43 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:25:46 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:26:49 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:27:52 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:28:55 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:29:58 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:31:01 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:32:04 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:33:08 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:34:11 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:35:14 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:36:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:37:20 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:38:23 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:39:26 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:40:29 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 07:41:32 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
